"County","Precinct","CST","REP","DEM","LIB","GRE"
"DURHAM","03",1,43,116,3,0
"BEAUFORT","SURBA",2,494,65,3,0
"GUILFORD","G72",2,25,257,1,2
"DARE","NGHD",2,301,120,5,0
"WATAUGA","18",1,136,40,4,1
"WAKE","ABSEN 41-80",49,7058,25883,379,107
"BERTIE","TRANSFER",0,0,0,0,0
"WAKE","13-11",1,179,98,4,0
"RICHMOND","15",0,61,7,0,0
"DURHAM","30-2",1,97,239,7,1
"MECKLENBURG","060",1,81,1053,7,2
"WAKE","17-05",2,191,247,7,3
"MECKLENBURG","111",1,892,976,18,4
"CARTERET","BOGU",5,1889,510,19,6
"BUNCOMBE","08.3",1,129,578,9,5
"PERSON","RCTL",7,1516,1548,19,8
"CATAWBA","04",2,322,308,8,1
"MECKLENBURG","037",2,607,847,22,2
"PITT","1512B",1,139,169,6,1
"FORSYTH","021",2,2298,722,23,4
"MECKLENBURG","007",2,307,864,10,3
"CALDWELL","PR29",0,216,88,2,0
"FORSYTH","703",1,271,781,10,6
"EDGECOMBE","1203",1,279,150,3,1
"DARE","MATO",4,333,127,12,2
"MCDOWELL","T.COVE",0,489,98,0,1
"HYDE","FF",0,122,32,1,0
"CRAVEN","N3N5",5,1121,1509,32,7
"JOHNSTON","PR14",1,381,68,5,2
"CLAY","BRAS",2,456,182,3,1
"GUILFORD","MON2B",1,107,125,3,0
"ANSON","GULL",3,344,403,5,0
"ORANGE","CO",0,57,77,2,1
"NEW HANOVER","ONE STOP CFC",7,994,4941,56,26
"JONES","P02",0,97,22,0,1
"LINCOLN","NB35",1,452,40,2,1
"ASHE","13",1,674,230,9,1
"FORSYTH","302",0,48,629,3,1
"WAKE","OSAB 41-80",5,2878,3335,54,3
"GUILFORD","JEF4",1,177,52,3,1
"GRANVILLE","BERE",2,758,511,11,4
"LINCOLN","HC33",0,408,75,4,2
"DAVIDSON","14",5,1241,132,12,2
"WILSON","PRWD",2,828,575,17,1
"MOORE","WAB",0,216,107,11,1
"CHATHAM","85",2,1087,960,8,6
"BEAUFORT","ABSENTEE",6,1047,1910,31,4
"BEAUFORT","PSJW3",0,30,166,0,0
"NASH","P20A",0,170,128,6,2
"GUILFORD","G58",0,72,195,3,3
